iter	Passed	Remaining
0	0	97
1	1	89
2	2	85
3	3	84
4	4	84
5	5	82
6	6	81
7	6	79
8	7	78
9	8	78
10	9	77
11	10	77
12	11	75
13	12	74
14	12	73
15	13	72
16	14	72
17	15	71
18	16	71
19	17	69
20	18	69
21	19	68
22	20	68
23	21	67
24	22	66
25	23	65
26	23	64
27	24	63
28	25	63
29	26	62
30	27	61
31	28	60
32	29	59
33	30	58
34	31	57
35	32	56
36	32	56
37	33	55
38	34	54
39	35	53
40	36	52
41	37	52
42	38	51
43	39	50
44	40	49
45	41	48
46	42	47
47	42	46
48	43	45
49	44	44
50	45	43
51	46	42
52	47	41
53	48	41
54	48	40
55	49	39
56	50	38
57	51	37
58	52	36
59	53	35
60	53	34
61	54	33
62	55	32
63	56	31
64	56	30
65	57	29
66	58	28
67	59	27
68	60	27
69	61	26
70	61	25
71	62	24
72	63	23
73	64	22
74	65	21
75	65	20
76	66	19
77	67	19
78	68	18
79	69	17
80	70	16
81	71	15
82	71	14
83	72	13
84	73	12
85	74	12
86	74	11
87	75	10
88	76	9
89	77	8
90	78	7
91	79	6
92	79	6
93	80	5
94	81	4
95	82	3
96	83	2
97	84	1
98	84	0
99	85	0
