iter	Passed	Remaining
0	140	140452
1	143	71364
2	145	48265
3	148	36881
4	152	30252
5	154	25585
6	156	22237
7	159	19720
8	162	17919
9	165	16410
10	167	15096
11	170	14012
12	172	13081
13	175	12342
14	178	11722
15	180	11118
16	183	10588
17	185	10124
18	190	9816
19	192	9446
20	194	9087
21	197	8765
22	199	8472
23	203	8264
24	205	8028
25	207	7791
26	210	7579
27	212	7387
28	214	7196
29	217	7045
30	220	6882
31	222	6728
32	224	6583
33	226	6447
34	229	6318
35	233	6265
36	236	6157
37	238	6046
38	240	5937
39	243	5835
40	245	5753
41	248	5671
42	250	5582
43	253	5499
44	255	5418
45	257	5343
46	260	5282
47	263	5219
48	265	5150
49	267	5081
50	269	5017
51	271	4952
52	274	4900
53	276	4848
54	278	4791
55	280	4736
56	283	4689
57	285	4638
58	288	4597
59	290	4556
60	292	4508
61	295	4463
62	297	4421
63	299	4379
64	301	4340
65	304	4307
66	307	4275
67	309	4239
68	311	4202
69	313	4164
70	315	4131
71	319	4112
72	321	4084
73	323	4051
74	326	4026
75	328	3996
76	331	3968
77	334	3956
78	337	3932
79	340	3916
80	342	3890
81	345	3865
82	346	3831
83	350	3816
84	352	3793
85	354	3771
86	357	3748
87	359	3729
88	365	3744
89	368	3730
90	371	3714
91	374	3699
92	378	3695
93	381	3675
94	383	3655
95	385	3634
96	389	3624
97	393	3617
98	396	3610
99	399	3592
100	401	3570
101	405	3566
102	407	3551
103	409	3531
104	412	3513
105	414	3495
106	416	3479
107	421	3479
108	423	3461
109	425	3443
110	427	3425
111	429	3408
112	432	3391
113	435	3387
114	438	3372
115	440	3356
116	442	3337
117	444	3321
118	449	3327
119	451	3313
120	453	3298
121	455	3280
122	458	3266
123	460	3251
124	463	3245
125	466	3234
126	468	3218
127	470	3205
128	472	3192
129	474	3177
130	480	3189
131	483	3177
132	485	3164
133	487	3153
134	490	3142
135	497	3160
136	500	3152
137	503	3142
138	505	3132
139	508	3122
140	511	3113
141	515	3112
142	517	3103
143	524	3115
144	526	3105
145	529	3099
146	532	3089
147	534	3079
148	537	3070
149	540	3062
150	543	3053
151	545	3043
152	548	3036
153	550	3024
154	553	3014
155	555	3004
156	557	2992
157	559	2982
158	561	2971
159	564	2962
160	565	2948
161	568	2938
162	570	2928
163	573	2921
164	576	2915
165	579	2909
166	581	2901
167	584	2893
168	586	2884
169	588	2874
170	590	2864
171	593	2856
172	595	2848
173	598	2839
174	600	2830
175	602	2821
176	604	2812
177	607	2803
178	609	2796
179	611	2786
180	613	2777
181	615	2768
182	617	2758
183	620	2750
184	622	2742
185	625	2736
186	627	2729
187	630	2722
188	632	2713
189	634	2704
190	636	2696
191	638	2687
192	641	2680
193	643	2673
194	646	2667
195	648	2660
196	650	2651
197	652	2643
198	654	2636
199	657	2631
200	660	2623
201	662	2615
202	664	2607
203	666	2599
204	668	2593
205	671	2586
206	673	2581
207	675	2573
208	678	2566
209	680	2559
210	682	2552
211	688	2558
212	690	2552
213	693	2546
214	695	2539
215	697	2532
216	700	2529
217	703	2522
218	705	2516
219	707	2509
220	710	2502
221	712	2496
222	714	2490
223	717	2485
224	719	2478
225	721	2471
226	723	2464
227	725	2456
228	728	2451
229	731	2447
230	733	2441
231	735	2436
232	738	2430
233	740	2423
234	742	2416
235	744	2411
236	746	2404
237	748	2397
238	750	2390
239	753	2384
240	755	2378
241	757	2373
242	760	2368
243	762	2362
244	764	2356
245	766	2350
246	768	2344
247	771	2338
248	774	2334
249	776	2328
250	778	2322
251	780	2317
252	782	2310
253	784	2304
254	786	2298
255	788	2292
256	791	2287
257	793	2281
258	795	2275
259	797	2270
260	799	2263
261	801	2258
262	804	2254
263	806	2248
264	808	2243
265	810	2237
266	812	2231
267	814	2225
268	817	2221
269	819	2216
270	821	2210
271	823	2204
272	825	2198
273	827	2192
274	829	2187
275	831	2182
276	834	2177
277	836	2172
278	838	2167
279	840	2162
280	842	2156
281	845	2151
282	847	2146
283	849	2142
284	851	2136
285	853	2131
286	855	2125
287	857	2120
288	860	2116
289	862	2112
290	865	2107
291	867	2103
292	869	2099
293	872	2094
294	874	2090
295	878	2089
296	881	2085
297	883	2081
298	885	2076
299	887	2071
300	890	2067
301	892	2063
302	895	2058
303	897	2053
304	899	2048
305	901	2044
306	903	2039
307	907	2038
308	909	2033
309	911	2028
310	913	2023
311	915	2018
312	917	2013
313	919	2009
314	921	2004
315	924	2001
316	926	1996
317	928	1991
318	930	1986
319	932	1981
320	934	1976
321	936	1972
322	939	1968
323	941	1963
324	943	1958
325	945	1953
326	947	1949
327	949	1945
328	952	1942
329	954	1938
330	956	1933
331	958	1929
332	960	1924
333	963	1920
334	967	1919
335	969	1915
336	971	1911
337	973	1906
338	975	1902
339	977	1898
340	982	1898
341	984	1894
342	986	1889
343	988	1884
344	990	1881
345	993	1877
346	996	1875
347	998	1871
348	1001	1867
349	1003	1863
350	1006	1860
351	1012	1863
352	1014	1859
353	1016	1855
354	1018	1851
355	1021	1847
356	1026	1848
357	1028	1844
358	1031	1842
359	1033	1838
360	1036	1834
361	1039	1832
362	1042	1829
363	1044	1825
364	1047	1821
365	1050	1819
366	1052	1815
367	1055	1812
368	1057	1808
369	1060	1804
370	1062	1801
371	1064	1796
372	1066	1793
373	1069	1790
374	1072	1786
375	1074	1782
376	1076	1778
377	1078	1774
378	1080	1770
379	1082	1766
380	1085	1763
381	1087	1759
382	1089	1755
383	1092	1752
384	1094	1748
385	1097	1745
386	1100	1742
387	1103	1740
388	1105	1736
389	1107	1732
390	1110	1729
391	1113	1726
392	1115	1723
393	1118	1720
394	1120	1716
395	1123	1713
396	1126	1710
397	1128	1707
398	1131	1704
399	1133	1700
400	1135	1696
401	1138	1692
402	1140	1689
403	1143	1686
404	1146	1683
405	1148	1680
406	1150	1676
407	1152	1672
408	1155	1669
409	1157	1666
410	1160	1663
411	1162	1659
412	1165	1655
413	1167	1652
414	1169	1648
415	1172	1646
416	1175	1642
417	1177	1639
418	1179	1635
419	1181	1632
420	1184	1628
421	1187	1626
422	1192	1625
423	1194	1623
424	1197	1619
425	1199	1616
426	1204	1616
427	1210	1617
428	1212	1614
429	1215	1611
430	1218	1608
431	1220	1604
432	1222	1601
433	1224	1597
434	1227	1593
435	1230	1591
436	1232	1588
437	1234	1584
438	1237	1580
439	1238	1576
440	1240	1572
441	1243	1569
442	1246	1567
443	1248	1563
444	1250	1559
445	1253	1556
446	1256	1553
447	1259	1552
448	1262	1549
449	1265	1546
450	1268	1543
451	1271	1541
452	1277	1542
453	1279	1539
454	1282	1535
455	1284	1532
456	1286	1528
457	1289	1525
458	1292	1522
